"id","profileName","text","date","title","rating","images","helpful","Style name"
"R2VTGC2YDD8GZJ","Sreeja Sunil"," I buyed 2 bands at 2 different times after fewdays later i noticed that the package has some difference, there are some features missing on the back side of the cover which has show in the description. To check whether it is a fake one or not i have tryed a lot of time to contact the one plus service center but they are not attending my calls, bad experience with one plus service centre.All of the other things are perfect except battery life of one of the band.""Sleep tracking "", spo2,heart rate monitoring are 99% accurate,step counting was only 99% accurate","Reviewed in India on 11 July 2021","Good product",4,"https://images-na.ssl-images-amazon.com/images/I/B1gAMyYL6ZS.jpg","38","Smart Band"
"R3UQVGDRGLHXE1","vikrant sharma","Battery 🔋backup  not good100% to 65% in 2-3 hours useBut product come with good quality...","Reviewed in India on 15 January 2021","Battery  drain fast",3,"","45","Smart Band"
"R2V92O6OLSBSP6","BJ","Dont have extreme negative options else I would have preferred. It's been only 24hrs and its keeps disconnecting from phone. Everytime you need to reset the watch and it used to loose the data of your activity. I will monitor for few days if not I would prefer to return the products.Note : All recommended settings have been preferred including latest mobile app.","Reviewed in India on 16 January 2021","Dont go for this product it's too early",1,"","26","Smart Band"
"RQ1LBWGZE786Y","BHARDWAJ DEEPAK","If you are looking for accuracy then don't buy this . Too much veriation .  I checked oxygen level with pulseoxymeter along with band . When results comes I saw too much difference between readingPluseoxymeter showing 94, band showing 100 .Then what should I do ?Average nikalu kya 😡So please don't buy this band for check spo2 level.","Reviewed in India on 30 April 2021","Not accurate",1,"","26","Smart Band"
"RELUOJ8DDOZL4","Punith.V","Great product.When I received the band was detecting driving and recorded as steps i walked. Right after a day band received update from oneplus now its perfect 👌.Battery performance is good ( 8% battery consumed for 24 hours)","Reviewed in India on 16 January 2021","Good product. Frequent updates 😇",5,"https://images-na.ssl-images-amazon.com/images/I/A1lFZmVEE0L.jpg","28","Smart Band"
"R3K3GZ8WYD7J9N","Arti Mehta","Pros:1. Decent battery life - uses approx 10% per day.2. Has oxymeter inbuilt - pretty accurate3. Heart rate monitor - pretty accurate4. Has a stop watch, timer - which was missing in a lot of other smartwatches5. Breathe feature6. Camera shutter feature7. Looks goodCons1. The calls alert comes after the call is disconnected( can be setting issue)2. No option to reply to calls/ messages.3. NOT COMPATIBLE with iOS since there is no oneplus health app launched for iOS yet.4. The screen goes off within seconds of reading for oxygen/heart rate5. It is Made in China6. I couldn’t change the alarm timings from what is default timing.Overall:It is a good buy in 2500 specially with features like camera click, timer, sleep and oxymeter. Best but in this range for sure. I am not very sure when app comes for iOS but can be a good buy if you’re not looking for a lot of features like altimeter/text or other features. But then that’s the difference between watch and a band.","Reviewed in India on 16 January 2021","Decent buy",4,"","23","Smart Band"
"R1Y8PWRUN6OPF1","Mohan Raj S","I have been looking for a band/smart watch that can let me set world time on watch face, and this is the first one that satisfied my requirement. Most smart watches have poor battery life even though it let me to have world time watch faces so not a workable solution. This is a very basic feature but yet none of the designers considered. Thanks to Oneplus for giving this watch face.I don't really had lot of expectations on the activity tracker. consistent step counter and reasonable batter life is all I wanted. Detail review of each feature belowBuild quality - Looks very good and I feel it looks better than Mi band 5. Strap is comfortable too.Display and touch screen - Good Amoled display with good touch sensitivity. No problem whatsoever.Step counter -  It is quite consistent but not sure if it is accurate. I felt it missed a few steps but in general I had similar counts for a 30 mins walk every day.Battery - I started with 73%. on fourth day I have 18% now. As per this estimate it will last for 6/7 days. It is bit a disappointment because the company claims 14 days battery. I use only 40% brightness and 20% between 7PM to 6AM. Only a few notifications a day. 5 seconds of display timeout. heart rate and SPO are all switched.Charging -  This is a poor design. Need to take out the capsule from the band to charge it.Activity tracker - Never used itWatch faces -  There are very less watch faces. None of them shows bluetooth status or battery status. watch faces that shows tracker data like step counter are very few. Needs lots of improvement in this regard. However, it gives me world clock watch face which is much needed for me so I am very happy with it. I wish it let me have a few more city time zones as well though. This is however can be fulfilled indirectly by having more watch faces with different time zones. It is easy to change watch face by swiping right (but only 5 watch faces can be stored in the band)Sleep tracking - It is erratic at times and not very consistent. Even when I slept well, it says I was awake at time. This may need software update to improveHeart rate, SPO - I used it only once and no clue about the accuracy. I find these features are not really workable as it is going to drain the battery and defeat the purpose of 24/7 tracking. It is good to use it on need basis thoughOther - Camera remote shutter, alaram, goal reached alert, alert to move around are very good","Reviewed in India on 17 January 2021","At last band with world time watch face",5,"https://images-na.ssl-images-amazon.com/images/I/81eIYVAAJ4L.jpg","20","Smart Band"
"R32J5K4FTED950","Mansi Patel","This is my second purchase of Band. The first I used was a Fastrack. I am more happy with features of One Plus Band than th fast-track.Features:::* Battery - The Battery Did not last for 14 days, it was 92% on 14th January and today on 19th January it dropped to 12% .*SPO2 - is accurate*Heartbeat - is accurate*Footsteps- haven't counted yet*Sleep Monitor- Good*Other Notification good* Charging Cradle - is push and pull which is a disappointment. I think a magnetic crable wud have been more convinient as push and pull cradle will not last long.But I am not happy with the battry life as it not as mentioned. The watched got charged fast on discharge. Overall a good buy for 2499/- if you are thinking of buying a Fastrack Band, is my personal opinion.","Reviewed in India on 16 January 2021","Good Purchase for 2499/- But Battery life is 5 days and not 14 days",4,"https://images-na.ssl-images-amazon.com/images/I/B1rNFRcOE0S.jpg
https://images-na.ssl-images-amazon.com/images/I/C1dkg7A6bzS.jpg","19","Smart Band"
"R1118OIQRTY7GE","Rashi Khanna ","There are better fitness bands available in the market. Band doesn’t detect heart rate or track sleep unless it is tight. It slides down when you workout and doesn’t track steps or heart rate during workout. The tight for tracking is too tight.","Reviewed in India on 16 January 2021","Not worth it!",1,"","19","Smart Band"
"R2IOWQ0666I9SF","Aditya Kumar","I am writing this review after using 9 days.Very easy interface: any layman can use it.No button: up- down, left-right swipe and one tap are enough to do any thing.Battery: Written 14 days in stand by mode: in 9 days it reached to 9%. I think it is fine.Step tracking: very precise: I took 100 steps and it was showing 99, 98, 100 these were the data.I liked blutooth software update.I also liked clicking photo from the band.It is having oxymeter. Though I have just used one time. It is fine.You will be able to get notifications, phone call, control music. Weather info.I really liked sleep tracking.It is having breath count heart rate monitor.13+ workout tracking.Tool include: stopwatch, music, timer, alarm, find my phone.And you will have tons of wallpaper and theme to show the time, step tracking and date.Any Settings can be done from, either band or from app. You can use your own image for wallpaper.Overall it is wonderful:Note: This us my first band, before this I didn't had any experience about any band.","Reviewed in India on 27 January 2021","It is wonderful",5,"https://images-na.ssl-images-amazon.com/images/I/C1XczIVzheS.jpg","13","Smart Band"
"R39OPHDD6N6Z1D","Gowtham S R","After quitting Mi band 4 . Tried brand new OnePlus band. Initially I decided to return the product as the heart rate monitoring was worst in it . Soon a day later I received an update from OnePlus .I updated it . After that , it's kinda Magic , Heart rate monitoring worked soo fast and good . Best thing about The band is Screen + Notifications + Accuracy + Sport's mode + Water resistance + weather report + amazing watch faces . No doubt , OnePlus is always  the best !!!!","Reviewed in India on 16 January 2021","🔥 OnePlus Band Bangs !!! 🔥",4,"","15","Smart Band"
"R1B91ZUIX7V3P2","Koteswara Rao","Thank You Amazon and its team for Nice Product.1. Product received in Good Condition.2. Easy to Use.3. Pairing between Band and Phone is fast and Simple.4. Heart beat measuring is Accurate and Good.5. Sleep measuring pattern is Accurate working fine, Suggestion is super.6. Alerting for idleness is also Accurate.7. Functions work correctly without any disturbance.8. Battery life also good, after using 2 days showing 60% after using all features.9. Measuring Oxygen levels in is fine and Good.10. Overall Good Product for daily use for maintaining Health and monitoring self.11. Thank You.","Reviewed in India on 19 January 2021","Good and Nice Product",5,"","12","Smart Band"
"R237Q1VPXYI8HZ","Ramj Lee","The device malfunctioned after 5 months of use, hence, I wanted to get a replacement as the company promised me earlier. It had no external defects but the service centre guys said that they could do nothing about it as the company rejected my appeal for replacement! (Unfortunately, No repairs available for this product)I told them very clearly that the malfunction has nothing to do with any external factors but purely internal and happened in 4 days time. (The display was covered by a gray layer!).The people at service centre washed their hands of the affairs!!!!!","Reviewed in India on 29 June 2021","Worst Customer Care!",1,"https://images-na.ssl-images-amazon.com/images/I/A1ZTqvU3chL.jpg","11","Smart Band"
"R2DLFSYT6XTJXP","Amazon Customer","Google search showed results that this device is compatible with iOS / iOS app will be launched at release. This device does not connect and oneplus customer service has no clue about the launch. Moreover the executive stated that the product has to be upgraded even if an iOS app is launched in the future. They do not have a return policy and I do not have an Android device at home. I feel so stupid. This fact of not suitable for iOS is not mentioned on Amazon page. This is a case of misrepresentation with the intention to mislead buyers.","Reviewed in India on 18 January 2021","Does not work on IOS.",1,"","11","Smart Band"
"R1LWPFLQP6TQJ","nikhlesh","The band looks good and feels premium. The integration with Oneplus phones should be great (I own Oneplus 6t). The SPO2 monitor and heart rate monitor are spot on, cross checked with apple watch and Dr Trust SPO2 monitor. Notifications are instant and touch feedback as well the amoled screen quality is amazing.The step tracking is off by a big margin which was unexpected. Compared to apple watch, the steps were less by a margin of 10%.(4500 steps in band against 5000+ steps on apple watch). Oneplus should work ASAP to improve the same via an update. Another minor thing is that the band though looks premium and is comfortable to wear on a regular basis, but wearing the band at night to track sleep was slightly uncomfortable. This can be subjective though based on wrist size/orientation of watch while sleeping.Overall,Pros:1. Looks premium2. Accurate SPO2 measurement3. Accurate heart rate measurement4. Great screen & good touch feedback5. Lots of modes to track activitiesCons:1. Step tracking not accurate(Should be improved in a later update)2. Not comfortable to wear while sleeping(purely subjective)Battery is okayish, approx 12% drop in one day with heart rate monitoring at 6 min interval and SPO2 off during night time.","Reviewed in India on 16 January 2021","Good features, Oneplus needs to improve step tracking",4,"","11","Smart Band"
"R31H3Q1MDN9PIY","Girish HB","If you are a big fan of OnePlus then definitely this is for you !Earlier there was many issues and bug which was faced by customers who got his band on first hands !However after recent firmware update of OP Band now some bugs are fixed !Mobile app :Yes it's an third party app which doesn't have much OnePlus touch in it !We where expecting an fitness app from OnePlus but it looks same as OPPO fitness appAnd also it looks same as OPPO x band !Accuracy :Yes after recent firmware update band give more accurate than before but we need more accurate with detailed information on app ! Hope up coming update we can expect those.Sleep tracking :Here is the situation which make users to confuse with its mechanism or algorithm functionalities.Since the band takes heart rate and spo2 every intervels but say for exm I slept in the night 3 o clock and I'm sure that I slept and I woke up @ 10 in the morning ! But the band says that I slept for 3 hours aprox ! It confuses that we really slept or not !ONEPLUS should really bring a big update for this !Pro:LightweightDual tone colourPhone Notification textPhone call alertSpo213 workout modeAlarm via app which vib on bandCons :Sleep monitoring need new updateApp UI is okWalking/running gps sync slowBand faces are lessWorth for MoneyFuture updates to this Band will lit it's demand-Girish Rao","Reviewed in India on 28 January 2021",""" Real review after 10 days of ONEPLUS Band + Pros Cons""",4,"https://images-na.ssl-images-amazon.com/images/I/815qaAoSK2L.jpg
https://images-na.ssl-images-amazon.com/images/I/819i56o+0LL.jpg
https://images-na.ssl-images-amazon.com/images/I/81GPJkkZSEL.jpg
https://images-na.ssl-images-amazon.com/images/I/81I9Rc-7DYL.jpg
https://images-na.ssl-images-amazon.com/images/I/81PGIBcesAL.jpg
https://images-na.ssl-images-amazon.com/images/I/81ehTe+uitL.jpg","9","Smart Band"
"R2NC0OAZEPWAFZ","Vishal Singh","Quality is top notch. Original OnePlus product delivered. Great screen, great touch and quality features.","Reviewed in India on 15 January 2021","100% Original and top quality product.",5,"","15","Smart Band"
"R2VBQ5ZSN9KDOQ","Niaa"," ordered twice , returned twice.. I have a oneplus 6 old device.. so i ordered this one plus band to go with it.. look wise good, sturdy, n compact . however it wasnt accurate . steps, sleep ,any activity ... that are the functions one buys a fitness band for..not just forlooks","Reviewed in India on 26 December 2021","not accurate",3,"","7","Smart Band"
"R1KLA5WDKI424J","Aditya","Pros:Renowned BrandAffordable PriceFeaturesEase of AccessDecent lookCons:Poor BatteryBluetooth connect IssueNo Activity link optionI was very excited about the item and was regularly monitoring it for its availability. I remembering it ordering the midnight I was launched in India. It arrived on a timely manner. The setup process was quite easy and simple. The battery gets drained very quickly, I am not sure if this is because of the Bluetooth connection. Surprisingly, getting the band disconnected with OnePlus health app is also a common issue which happens at least 1 per day, not sure if this is how it is programmed. As long as the band is connected with app, all the notification will come through. The band comes with an alarm option (vibration mode only) and is quite effective.Overall, this was my second fitness band and I am highly disappointed. I trusted the name (even though it's origin is China) and I feel cheated. Anyways, at this price range, it's a better option and a good alternative for a smart watch. It's a smart watch cum fitness band in a way.","Reviewed in India on 18 January 2021","Don't Judge A Book By Its Cover",2,"","6","Smart Band"
"R1U6V60CNFBHWV","Janardan Misra","This review is based upon my experience of using OnePlus band for the last 3 months. The best feature of the band is sleep time SPO2 measurements, which though might not be as accurate as medical grade oximeters, however, give reasonably good indication of problem if there is any. For example, this could be of immense use for those who snore or are in old age.  Next best thing is its recommendations for improving sleep quality and problems in sleep and their potential effects in our health - I found them scientifically well founded as well as informative as compared to other band like Honor Band 5.Now coming to negative side of it. In my experience its battery discharges quite fast if you use SPO2 monitoring feature. Another problem is that currently its watch faces are quite limited and may not interest all. Lastly, screen is practically invisible during sunlight so if you want to use it to check time during day time (which I guess is quite natural), it is going to be tough to figure out.","Reviewed in India on 18 January 2021","Key differentiating feature - tracking SPO2 during sleep!",4,"","6","Smart Band"
"R2GDV53IRELT0M","Darkknight","-Spo2 sensor is fake ..it even shows  saturation of my pencil , cloth😂😂.-There is some bug where the heart rate  sensor turns on automatically  eventhough we have switched off in  settings .-Battery backup is worst ,it won't even lasts  for 4days even in normal use. I think Honor band 5 is better than this.I even turned off bluetooth connectivity to check battery backup and still the same.,Yesterday night it was 100% and in the morning it's 71%, no continous heart monitor is on but still it's draining a lot.Better don't buy this 🙏🙏🤦","Reviewed in India on 8 May 2021","Fake spo2 monitoring and worst battery backup",1,"https://images-na.ssl-images-amazon.com/images/I/91IxSKAFpqL.jpg
https://images-na.ssl-images-amazon.com/images/I/B1R98a7DqsS.jpg
https://images-na.ssl-images-amazon.com/images/I/B1o8oaBELmS.jpg","5","Smart Band"
"R3H6ZFBDU5KDYS","Sushil Shantaram Tambade"," This product is very nice from OnePlus,I agree it has got nothing new other than spo2 if you compare with MI band 5. But this one has got nice look with flexible starp.There can be much more things could have been added but again to fit in this price would have been difficult. Battery is definitely not good, If you use all the functions like heart rate monitoring and spo2 monitoring during sleep tracking the battery and whole day heart rate monitoring (which I am doing now) the battery will only last long for max 3 days. Never used it with minimum tracking. I will try with minimum tracking and will share the review again.This product is good start for OnePlus to get into the smart band/watch market.","Reviewed in India on 19 January 2021","Good enough to start.",4,"https://images-na.ssl-images-amazon.com/images/I/A1NKCVF7uvL.jpg
https://images-na.ssl-images-amazon.com/images/I/A1wtbAhBDGL.jpg","5","Smart Band"
"R1QUC4S4FPVUCO","Jupiter"," I had used Mi band before this and I used it for 4years and gave no trouble. I thought of trying one plus this time and it was a wrong decision indeed. I got this in the month of august 2021 and it suddenly went blank today no display nothing. In the app it shows 41% charge. I tried charging it but seems to not work. Really disappointed.","Reviewed in India on 11 January 2022","Took in the month of August and it suddenly stopped working today no display nothing.",2,"","5","Smart Band"
"R4E488NGEZMQ3","prasad","Utterly waste of money if u r buying this for SPO2 tracking as the values shown are always above 97 irrespective of how ever low oxygen levels are. Stress n sleep tracking dnt work. Typical Chinese product. MI bands have better quality n accuracy but no SPO2 available yet on them","Reviewed in India on 29 April 2021","Total waste of money",1,"https://images-na.ssl-images-amazon.com/images/I/9198UJUW2ML.jpg
https://images-na.ssl-images-amazon.com/images/I/C1SPz+eeNES.jpg","6","Smart Band"
"R35OGKZOFX34OB","Siddhartha","Edit - After 4 months of low usage, it stopped working. I am clueless what needs to be done, can't go to service center due to pandemic.Very disappointed with Oneplus.Pros:1. Work like charm with OnePlus mobiles, all notifications pops up instantaneously2. Software is pretty smooth and intuitive3. Accuracy is pretty ok. I have MI band 5 also, both gives similar numbers. However, I think Google fit is more accurateCons:1. As already mentioned by all, battery life is pathetic2. Strap is really bad, I struggle to buckle it everyday3. Very limited watch faces4. No stress monitoring functionalityOverall very disappointed with the product. Don't buy at all.","Reviewed in India on 20 February 2021","Stopped working",1,"","4","Smart Band"
"RM2X5N4OZBOIB","SP","Its a fitness band and it's very accurate steps and distance etc unlike other brands, however while measuring SPo2 and to get an accurate measurement; just make sure to wear it tight on you wrist...it's build quality, looks and feel is premium...cons: battery may not gonna last for 14 days but I'll be fine even if it last a week however maybe in next charge it'll give me that 14 days...don't go for negative reviews this OnePlus band is the best out there for normal users (maybe kids like blings and extra customisation) ...AND it tracks Yoga too","Reviewed in India on 22 January 2021","Premium and Accurate",4,"","4","Smart Band"
"RLKFQZWCEAIVD","Balaharimurthy","Excellent product from OnePlus once again !!This is my 4th Gadget with OnePlus.They never tried to disappoint me .Smart Band is absolutely awesome!Battery life is soooooo long !!Accuracy is perfect and You'll need to install OnePlus Health app for pairing up and customising the display!","Reviewed in India on 6 February 2021","Excellent product from OnePlus and Battery life is soooooo long",5,"https://images-na.ssl-images-amazon.com/images/I/A1yBW78h-9L.jpg
https://images-na.ssl-images-amazon.com/images/I/B1-GBa6pOQS.jpg","5","Smart Band"
"R25DNL82UGS6X4","Akhil","Totally impressed with this device. As expected from OnePlus device there is no lag or hiccups with this band. Display is good and bright and ui is pretty simple and straightforward. What truly impressed me is the performance of UI. There is no lag at all. For the price I can't complain anything about the band. Anyways when you compare to competition there might be other bands which offer more featuers but if own OnePlus better to go with this one. If we go for same brand stuff ie ecosystem you get optimised performance and experience. Companion app, whole bt connection etc will all be optimised. So if you own mi device go for mi band if you own OnePlus device go with OnePlus band.Overall am impressed with what this offers. It's fast and build quality seems perfectly fine for the asking price. You won't go wrong with this purchase.PS: don't expect smartwatch features on this band!","Reviewed in India on 16 January 2021","If own OnePlus device go for it",5,"https://images-na.ssl-images-amazon.com/images/I/A16XfkAQ46L.jpg
https://images-na.ssl-images-amazon.com/images/I/A1BFFx8cbaL.jpg
https://images-na.ssl-images-amazon.com/images/I/A1FhZLqZjiL.jpg
https://images-na.ssl-images-amazon.com/images/I/A1z+lFKSXjL.jpg","3","Smart Band"
"RHE8NZRWM98Y","Amazon Customer"," While I'm going to charge band it's not getting charged so pls can replace","Reviewed in India on 17 March 2021","One plus band",1,"","10","Smart Band"
"R2PHYWWCREJJN2","zubin mujawar","- Sleep tracking is accurate as I have studied the data and timing.- Mobile app could have been much user friendly and with a lot of watch faces and features- Should have easy charging option than removing the entire machine from strap.- It has serious issue with battery when auto heartrate and Oximeter monitor is enabled it gulps down the baterry within 8-9 days. Also stuck on 99% for a long while initial charging till 99% is faster.- If auto HR and Oxi monitor is disabled then the battery backup is more than 15 days- Has only call cancel option, can't reply to msgs using predefined texts.","Reviewed in India on 26 January 2021","Good competitor with battery issues",4,"https://images-na.ssl-images-amazon.com/images/I/A154rIx2-0L.jpg
https://images-na.ssl-images-amazon.com/images/I/A1rAxzJr9tL.jpg
https://images-na.ssl-images-amazon.com/images/I/A1wkDsJG9tL.jpg","3","Smart Band"
"R1ZJN9LN0U227X","Shibnath Mukherjee","Its a good fitness tracker. It has SpO2, heart rate monitor, sleep tracker, exercise tracker etc.There's only one major drawback. The battery back is not good! Other fitness tracker like the MI band 4 or 5 has a minimum back up of 14 days. This one's is just their half in this respect. Otherwise its a good product for fitness conscious folks.","Reviewed in India on 6 April 2021","Nice! But Battery back is 6/7 days only.",5,"","3","Smart Band"
"R2UOWNH8V2NRFI","prateek a."," WHAT A FAKE PRODUCTMY TABLE HAS A HEARTBEAT AND SPO2","Reviewed in India on 26 March 2021","Don't buy FAKE SPO2 AND HEARTBEAT",1,"https://images-na.ssl-images-amazon.com/images/I/71+aa+SELoL.jpg","9","Smart Band"
"RMMLMUMT37QOG","kamal","Good smart band with many features. Like the design and quite handy.Issues: While cycling most of the time GPS does not work so the cycling workout is not calculated in the mobile app. Sleep monitoring will add all the in-between sleep to your sleep cycle for the day. Suppose you wake up after 7hrs sleep in the morning and you sleep again for 1hrs at noon so the app will not show the last sleep duration it will be added to the same-day cycle. It works fine with Google Fit software which shows you the latest sleep history too. So anyone can use google fit software too with the Band.Rest I like all other features","Reviewed in India on 28 April 2022","Nice smart band",4,"",1,"Smart Band"
"R2X6U4FLPOSGF5","Kartik Soni"," Good sleep tracking shows how many times I was awake deep sleep and overall it's decent.Steps tracking I have some doubts as I counts steps even when I'm on bed I don't have a clue why but it does!Heart rate is a bit more than when I have compared it with mi band 5 spo2 shows 98-96 everytime so overall i guess these are not perfect but decent tracking results.Watch faces are good convienent to choose from.","Reviewed in India on 20 March 2022","Decent tracking",4,"","2","Smart Band"
"RYZF5OP8JEHS0","Bikram","I'm generally a fan of OnePlus products but they have dropped the ball HARD with this product.- The sleep tracking is completely off and makes you feel like you've never had enough rest- The spo2 is nowhere near accurate either.- The step tracking is perhaps the only thing that's even remotely accurate.- Notifications often come in delayed and are lagging.Not even worth the ₹1700 I paid for it. You might as well spring for the Mi Band.","Reviewed in India on 21 March 2022","Spend a little more and buy the Mi Band!",1,"","2","Smart Band"
"R31OX4A7CY2UN7","Rajesh VR","review update after a over 9 months usageUpdate : incoming calls cannot be stopped. It vibrates when phone rings and that eats battery. Sleep tracking is not any good still. I've forgotten about that feature now.Strap is nonsense. I have changed strap in 3 months and this time it's was another 5 months and strap is gone again. The silicon sleeve breaks. Gotta order strap now..Review after 1 wk usageTo start with, I'm okay with this being first smart band. step tracking, camera control and phone finder, sedentary alert, etc. the basic features i expected out of smart band is all there.Pros I see- auto tracks steps- spo2 and heart rate seem pretty ok. (didnt have an actual medical device to compare though)- fits in smooth, adjustable strap- waterproof and dust doesnt settle much, cleaning is fairly easy- phone alerts available if needed.- first charge lasted me a week with heart rate and spo2 checked occasionally.- app is fine. shows u history of activity etc- camera and fone finder works nice (bluetooth pairing should be kept always on)Cons- sleep tracking is worst. as u will find in reviews everywhere. hoping to see OTA updated resolve it soon.- price could have been a little lesser considering only SPO2 is the difference between this and mi5 band- if u keep vibration mode on and switch on phone notifications , charge would run out in no time.- device needs to be popped out for charging. could have been avoided. especially if we lose charging cable or if the device fitting doesnt stand after a while...","Reviewed in India on 1 February 2021","didnt disappoint for being first Smart Band",3,"https://m.media-amazon.com/images/I/713naDtheaL.jpg",1,"Smart Band"
